81,3240
81,3240
201,20100
201,20100
362,65340
362,65340
92,4185
92,4185
227,25650
227,25650
406,82215
406,82215
102,5145
102,5145
251,31375
251,31375
451,101475
451,101475
276,37950
276,37950
123,7499
123,7499
301,45150
301,45150
541,146070
541,146070
135,9035
135,9035
326,52975
326,52975
587,171990
587,171990
147,10700
147,10700
353,62125
353,62125
631,198765
631,198765
161,12823
161,12823
386,74237
386,74237
679,230173
679,230173
171,14480
171,14480
406,82196
406,82196
726,263154
726,263154
182,16367
182,16367
435,94348
435,94348
769,295290
769,295290
25,300
25,300
195,18782
195,18782
182,16471
457,104175
457,104175
820,335730
820,335730
36,630
36,630
209,21530
209,21530
194,18721
486,117784
486,117784
861,370215
861,370215
37,665
37,665
229,25561
229,25561
207,21299
512,130742
512,130742
909,412650
909,412650
96,4526
96,4526
482,111045
482,111045
440,95356
421,87483
482,111008
440,95361
413,84984
403,81003
1068,565713
1068,565713
1008,507496
1842,1694479
1842,1694479
1802,1622700
190,17813
190,17813
770,268842
770,268842
715,243347
664,216662
621,192262
1636,1322333
1636,1322333
1524,1160247
2789,3880314
2789,3880314
2707,3662548
244,29350
244,29350
225,25200
1059,497728
1059,497728
1005,465669
949,430329
886,385362
827,340985
804,322797
2188,2358268
2188,2358268
2052,2102661
3729,6936138
3729,6936138
3611,6517792
407,81365
407,81365
372,69000
1346,789615
1346,789615
1281,741804
1227,702649
1147,636480
1064,562178
1008,507485
2776,3765599
2776,3765599
2613,3399874
2513,3156247
4701,11000546
4701,11000546
4529,10253185
487,116780
487,116780
450,100993
1627,1141877
1627,1141877
1562,1084873
1519,1049282
1480,1016798
1420,960184
1350,890252
1258,788159
1207,727794
3343,5457863
3343,5457863
3173,4999445
3025,4573468
5666,15975431
5666,15975431
5458,14889895
603,178933
603,178933
554,153150
1953,1614927
1953,1614927
1909,1573539
1889,1553556
1878,1543408
1859,1524526
1834,1499444
1813,1478963
1784,1449630
1750,1412896
1714,1375054
1672,1328331
1611,1257189
1530,1155044
1437,1030683
1403,983500
3943,7565728
3943,7565728
3780,7060115
3591,6439234
3504,6137250
6629,21854626
6629,21854626
6382,20357077
6301,19848150
738,267547
738,267547
685,233978
2245,2113973
2245,2113973
2191,2059047
2163,2029315
2146,2011725
2131,1996187
2112,1974613
2094,1954389
2083,1941816
2070,1926675
2052,1905399
2019,1864129
1987,1825931
1938,1763298
1864,1665127
1755,1515562
1652,1361919
1604,1285603
4509,9878816
4509,9878816
4334,9270472
4121,8476931
4007,8026000
7604,28744098
7604,28744098
7325,26812024
7206,25959599
813,322563
813,322563
752,281826
726,263174
2525,2662610
2525,2662610
2486,2616676
2469,2595483
2462,2587454
2457,2583177
2454,2579870
2450,2575222
2447,2571795
2441,2565262
2433,2556596
2428,2550328
2426,2548445
2423,2544951
2421,2542915
2420,2542168
2419,2541492
2418,2540553
2416,2538862
2411,2533012
2405,2525599
2401,2521032
2391,2508967
2382,2497965
2373,2487143
2365,2476746
2350,2458905
2335,2439965
2320,2420568
2305,2401387
2288,2379699
2264,2346214
2230,2299882
2184,2237269
2129,2157224
2039,2021950
1906,1805540
1812,1640700
5112,12631057
5112,12631057
4929,11929870
4714,11057150
4539,10298079
8592,36638000
8592,36638000
8284,34274264
8109,32873850
917,412122
917,412122
847,358003
2814,3289685
2814,3289685
2763,3224536
2744,3200782
2737,3192634
2732,3186045
2727,3179648
2726,3178769
2723,3175376
2720,3171889
2718,3169840
2712,3162335
2708,3157450
2705,3153140
2702,3149241
2700,3146635
2698,3144035
2696,3141958
2690,3134554
2685,3127729
2680,3120816
2674,3112373
2668,3103739
2661,3094214
2656,3088302
2651,3082073
2643,3070962
2637,3062243
2631,3054631
2626,3048198
2621,3040658
2614,3030513
2610,3025119
2604,3017121
2597,3007876
2589,2997062
2580,2983230
2569,2967731
2558,2951622
2547,2935788
2527,2906173
2507,2876656
2484,2843798
2447,2788323
2405,2721302
2359,2648819
2272,2506459
2131,2255187
2018,2035006
5703,15695378
5703,15695378
5543,15031013
5341,14141721
5092,12955914
5002,12507500
33,429
33,429
27,323
23,250
55,1095
55,1095
52,994
49,919
46,842
45,816
44,791
42,744
39,668
35,568
39,656
39,650
39,650
40,672
40,644
42,730
55,1094
52,992
49,917
46,841
45,815
44,790
42,743
39,668
36,593
33,514
30,434
39,452
39,452
38,465
37,448
35,422
32,359
31,334
30,318
28,297
24,243
18,153
103,3890
103,3890
94,3419
68,2039
103,3892
94,3419
88,3127
66,1930
68,2039
103,3892
94,3419
88,3127
85,2965
83,2876
80,2723
75,2439
72,2344
74,2366
66,1930
68,2039
103,3892
94,3419
88,3127
85,2965
83,2876
80,2723
77,2625
74,2462
70,2243
64,1945
60,1740
59,1681
63,1898
63,1885
67,2086
66,2038
75,2443
72,2342
67,2105
59,1687
57,1573
61,1774
74,2366
66,1937
68,2039
103,3892
94,3419
88,3127
85,2965
83,2876
80,2723
77,2625
74,2462
70,2243
64,1945
60,1740
55,1483
105,3284
105,3284
104,3246
103,3208
102,3185
100,3075
99,3037
98,3002
95,2883
93,2831
91,2765
90,2752
88,2661
85,2555
83,2494
79,2366
74,2172
69,1979
66,1834
63,1726
58,1533
54,1358
52,1273
54,1354
59,1562
56,1446
52,1279
50,1193
52,1273
61,1598
61,1623
65,1713
71,1927
70,1917
73,1914
73,1886
73,1927
75,1963
75,1931
77,1991
74,1930
77,1940
79,2033
75,1936
75,1828
75,1886
105,3244
104,3213
103,3169
102,3137
100,3065
99,3028
98,2994
95,2876
93,2823
91,2760
90,2747
88,2658
85,2556
83,2495
79,2367
74,2173
69,1980
66,1834
63,1726
58,1533
54,1358
50,1199
47,1074
45,989
115,1845
115,1845
114,1822
113,1816
112,1781
111,1791
110,1817
109,1819
108,1808
107,1754
106,1685
105,1811
104,1794
103,1762
102,1590
92,1257
93,1249
94,1385
95,1574
94,1540
93,1540
92,1465
91,1452
82,1257
82,1380
